Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 IPC/91 BNS)",5,0,1,1
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC/93 BNS),37,7,4,7
4,Kidnapping & Abduction of Children,2311,260,361,334
4.1,For Ransom - of Children,5,0,1,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,1,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,10,2,2,0
,Sub Total,2327,263,364,334
5,"Selling of girls for Prostitution (Sec.372 IPC/98
BNS)",0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,123,15,26,18
7,POCSO Act,2547,335,347,337
8,Death of Children due to miscarriage,13,2,3,1
9,Juvenile Justice Act,97,7,6,12
10,Child Labour (Pro.& Reg.) Act,53,7,12,17
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),5202,636,763,727
