Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,3,1,1,3
,1.3 other Cases of Rape,42,56,40,42
,Sub Total,45,57,41,45
2,Outraging modesty (Molestation) (sec.354 IPC),482,468,526,482
3,Kidnapping & Abduction of Women: (Sec.366 IPC),6,6,11,6
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC if victim is a woman)",40,22,41,40
5,Murder for Dowry - by burning (Sec.302 IPC),0,1,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",1,0,3,1
7,Murder for other reasons,35,34,26,35
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",1,0,2,1
10,Attempt to Commit murder for other reasons,75,98,75,75
11,"Dowry Death-by burning
(Sec.304-B IPC)",0,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),1,0,2,1
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",256,222,228,256
14,Abetment of Suicide (Sec.306 IPC),17,13,15,17
15,Immoral Traffic (prevention) Act.,17,30,18,17
16,"Indecent Representation of Women(Prohibition) Act-
1986",0,0,0,0
17,Pornography,0,0,2,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",10,6,12,10
19,Offences related to Marriage,2,4,1,2
20,Cyber Crimes,287,401,322,287
,Total (Item 1 to 20),1275,1362,1325,1275
