"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - March - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The Service
wise details of received, disposed and overdue status of services for March 2024 as on 31.03.2024
are as under",,,,
Sl. No,Service Name,"Stipulated
Time","No. of
Receipts
During the
Month","No. of Disposal
During the Month
as on 29.02.2024"
1,Arms License Issue and Renewal Verification,30,0,4
2,Certification of Finger Print,20,5,4
3,Disposal of Petitions,45,35446,35052
4,Issue of copy of FIR to the complaintant,1,21102,21102
5,License for Amplified Sound System,3,2029,1694
6,License for Amusement,15,1,1
7,"Missing Report of documents, Mobile phone etc",1,5028,5029
8,"No objection to return to India permission in
respect of Tibetans",20,0,0
9,No obligation to return to India (NORI) Certificate,20,0,0
10,NOC for Crackers License,7,1,1
11,NoC for Passport Verification,20,711,779
12,"NOC for petrol pump,gas agency,hotel,bar etc.",7,3,4
13,NOC for Residencial Permit Extension,7,0,0
14,"NOC required for setting up of Petroleum, Diesel
and Naphtha, Sale, Transport",21,0,0
15,Permission for Peaceful Assembly and procession,15,2,2
16,"Police Clearance Certificate for going abroad (Visa
for studies)/ Police Clearance Certificate for
Foreign Nationals",20,277,265
17,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/ Supervisor
at Airport (Individual applicants only)",20,5618,5368
18,"Police Verification Certificate for domestic
servants/house keeping",20,7,11
19,"Police Verification Certificate for Institutions/
Companies",20,80,65
20,Police verification Certificate for Marriage Alliances,20,57,44
21,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for
trainees/ Workers working on daily wages at Govt.
Institutions",20,3582,3500
22,"PVC for Central /State Govt. employees if request
is received directly by the employee",20,631,586
23,Service Verification,20,33491,33479
24,Temporary Licence for Sale of Crackers,7,0,0
,Total,,108071,106990
