"Sl.
No.",C O N T E N T S,"Page
No."
1,"Crime Review on – 1) Murder 2) Dacoity 3) Robbery 4) Burglary
5) Theft 6) Riots 7) Hurt 8) Spl. & local laws 9) Crime against
Women 10) POCSO 11) SC & ST POA Act 12) Security cases
13) Cyber Crimes 14) Economic Offences & 15) MMDR & KMMCR
16) Motor Vehicles Theft Cases 17) NDPS Cases",1-17
2,"District-wise Reported cases under various heads for the month of
June – 2023",18
3,Crime Statistics – IPC Crimes,19-29
4,Crime Statistics – Special & Local laws,29-34
5,Crime Statistics – Crime against Women,34
6,Crime Statistics – Crime against Children,35
7,Crime Statistics – Crime against SC & ST,36
8,Crime Statistics – Road Accidents,37
9,Unit-wise report on Receipts & Disposals under SAKALA services,38-39
10,Comparative Crime Statement – 17,40-41
11,Police IT June month Pragathi report,42-43
12,e-Sign details – FIR & Chargesheet,44-45
13,Police IT MT Module log book details,46-48
14,Seva Sindhu – June month report,49
15,District Wise COTPA Statistics,50
