Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,"Karnataka Education Act 1983 As Amended Upto
Date",2,0,0,0
,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0
,Karnataka University Act,0,0,0,0
,Karnataka Corruption Act,0,0,0,0
,Karnataka Medical Registration Act 1965,4,0,0,1
,Karnataka Land & Revenue Act 1964 & 2007,32,6,3,3
,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
,Karnataka Society Registration Act,0,0,0,0
,Karnataka Minor Mineral Consistent Rule 1994,16,1,4,1
,Bangalore Development Authority Act,0,0,0,0
,Karnataka Prohibition of Beggery Act 1975,56,4,1,1
,Karnataka Municipalities Act 1964,1,0,0,0
,Karnataka Irrigation Act 1963,4,0,1,0
,Karnataka Fire Force act 1964,5,1,1,1
,Karnataka Consumer Protection Act 1986,0,0,0,0
,Karnataka Lottery Act,54,4,2,2
,Karnataka Weight & Measurement Act,0,0,0,0
,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
,Karnataka Revenue Act,2,0,0,1
,Karnataka Mining Act,2,0,0,0
,Karnataka Betting Tax Act,0,0,0,0
,Karnataka Panchayat Raj Act,2,0,0,1
,Karnataka Open Place Disfigurement Act 1951,594,234,2,495
,Karnataka Right To Information Act 2000 & 2008,2,0,0,1
,Karnataka Urban Development Act 1987,0,0,0,0
,Karnataka Town & City Planning Act 1961,0,0,0,0
,Karnataka Race Betting Act,0,0,0,0
,"Karnataka Devadasi's (Prohibition Of Dedication)
Act 1982",0,0,0,0
,Cooperative Society Act,1,0,0,0
,Karnataka Entertainment Tax Act 1958,4,0,2,0
,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0
,Karnataka Money Lender Act 1961,16,0,0,2
,Karnataka Stamp Act 1957,0,0,0,0
,Karnataka Prisoners Act 1963 & 1974,39,7,1,7
,Karnataka Private Medical Institution Act 2007,8,0,2,0
,"MMRD (Mines & Minerals Regulation Development
) Act 1957",69,3,4,10
,Karnataka Treasure Trove Act 1962,5,0,2,1
,"Karnataka Prohibition of Charging Exorbitant
Interest Act 2004",18,1,1,1
,"Karnataka Ayurvedic And Unani Pract. Regis. &
Medical Prac. Misc. Prov. Act",0,0,0,0
,Other Local Acts,134,12,10,7
,Sub Total,9227,783,847,1136
